Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;38,346.00;40,422.75;2,076.75;6,337.75
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;37,777.25;39,545.00;1,767.75;4,601.75
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;36,939.75;39,990.00;3,050.25;3,581.00
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;35,932.50;39,636.50;3,704.00;4,973.75
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;35,486.25;39,287.00;3,800.75;5,082.75
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;35,647.25;39,706.75;4,059.50;4,945.00
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;35,231.75;39,480.00;4,248.25;4,636.75
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;36,172.25;39,460.00;3,287.75;4,972.25
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;36,829.25;39,601.25;2,772.00;6,264.50
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;39,226.50;41,130.00;1,903.50;6,773.25
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;41,005.50;42,731.50;1,726.00;6,821.75
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;43,703.00;44,995.00;1,292.00;8,243.25
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;44,205.75;45,400.50;1,194.75;9,899.50
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;43,621.75;45,212.25;1,590.50;11,222.75
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;43,231.50;45,061.25;1,829.75;10,989.50
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;43,691.75;44,713.50;1,021.75;12,912.25
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;45,668.75;45,930.00;261.25;17,928.00
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;48,732.00;48,915.25;183.25;22,239.00
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;48,882.00;49,269.25;387.25;23,058.50
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;47,468.50;47,962.50;494.00;22,176.25
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;44,883.50;45,516.00;632.50;19,641.50
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;43,222.75;43,847.00;624.25;17,643.75
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;42,278.00;42,802.25;524.25;18,641.75
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;39,092.75;40,133.75;1,041.00;16,156.00
